date,facility_id,facility_name,facility_type,location,drug_id,drug_name,category,current_stock,min_stock,daily_usage,lead_time_days,expected_usage,stock_after_lead_time,shortage_flag,month,season
1/2/2024,6,delta medical center,clinic,mansoura,106,metformin,diabetes,62,69,15,4,63,7,FALSE,1,Winter
5/12/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,245,23,20,4,76,167,FALSE,5,Spring
2/4/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,240,63,18,9,163,80,FALSE,2,Winter
4/23/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,265,46,19,8,153,112,FALSE,4,Spring
5/1/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,240,35,9,14,124,115,FALSE,5,Spring
5/13/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,254,60,9,5,44,207,FALSE,5,Spring
3/14/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,125,38,12,6,74,64,FALSE,3,Spring
2/5/2024,5,alex central hospital,hospital,alexandria,101,paracetamol,painkiller,85,34,14,12,171,0,FALSE,2,Winter
2/24/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,40,46,15,6,86,0,FALSE,2,Winter
4/16/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,40,35,15,7,110,0,FALSE,4,Spring
1/6/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,201,50,2,6,14,196,FALSE,1,Winter
4/17/2024,3,giza health center,clinic,giza,104,insulin,diabetes,284,67,19,13,248,34,FALSE,4,Spring
5/4/2024,5,alex central hospital,hospital,alexandria,102,amoxicillin,antibiotic,126,37,15,8,123,1,FALSE,5,Spring
3/27/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,217,65,7,14,99,121,FALSE,3,Spring
6/8/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,287,20,13,10,139,150,FALSE,6,Summer
1/7/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,50,61,15,3,45,0,FALSE,1,Winter
1/13/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,135,44,12,4,46,99,FALSE,1,Winter
3/27/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,202,36,15,5,75,130,FALSE,3,Spring
1/5/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,287,23,13,4,44,238,FALSE,1,Winter
6/15/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,27,70,2,4,5,19,FALSE,6,Summer
6/8/2024,2,el amal pharmacy,pharmacy,cairo,101,paracetamol,painkiller,88,35,6,8,46,32,FALSE,6,Summer
5/24/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,125,50,10,13,132,0,FALSE,5,Spring
6/4/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,75,68,7,5,34,30,FALSE,6,Summer
1/7/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,175,57,14,7,98,74,FALSE,1,Winter
1/20/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,129,26,11,14,154,0,FALSE,1,Winter
1/31/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,300,70,3,6,22,284,FALSE,1,Winter
6/18/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,205,26,18,11,194,3,FALSE,6,Summer
4/17/2024,3,giza health center,clinic,giza,101,paracetamol,painkiller,261,26,15,6,85,173,FALSE,4,Spring
2/9/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,228,32,18,11,198,40,FALSE,2,Winter
5/17/2024,3,giza health center,clinic,giza,105,aspirin,cardio,255,48,15,14,209,51,FALSE,5,Spring
3/9/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,177,75,9,14,126,50,FALSE,3,Spring
4/25/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,129,69,16,10,157,0,FALSE,4,Spring
4/7/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,183,21,17,14,239,0,FALSE,4,Spring
5/4/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,111,43,10,6,57,55,FALSE,5,Spring
6/28/2024,3,giza health center,clinic,giza,105,aspirin,cardio,155,54,2,9,17,127,FALSE,6,Summer
3/2/2024,2,el amal pharmacy,pharmacy,cairo,101,paracetamol,painkiller,219,52,19,13,253,0,FALSE,3,Spring
5/1/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,259,48,2,2,2,259,FALSE,5,Spring
4/13/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,132,39,20,6,117,18,FALSE,4,Spring
5/15/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,179,46,19,6,111,70,FALSE,5,Spring
4/26/2024,3,giza health center,clinic,giza,106,metformin,diabetes,147,38,10,4,38,111,FALSE,4,Spring
2/19/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,177,26,19,13,246,0,FALSE,2,Winter
2/19/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,113,66,17,5,81,39,FALSE,2,Winter
5/14/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,149,27,8,5,40,109,FALSE,5,Spring
2/15/2024,2,el amal pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,163,21,19,3,64,105,FALSE,2,Winter
1/14/2024,3,giza health center,clinic,giza,101,paracetamol,painkiller,298,38,6,11,66,223,FALSE,1,Winter
1/4/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,152,49,17,8,134,17,FALSE,1,Winter
1/14/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,135,80,17,2,34,99,FALSE,1,Winter
5/5/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,45,56,3,4,14,42,FALSE,5,Spring
3/18/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,57,35,5,9,48,8,FALSE,3,Spring
6/1/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,119,68,18,7,131,0,FALSE,6,Summer
3/17/2024,4,nasr city pharmacy,pharmacy,cairo,104,insulin,diabetes,225,39,20,10,202,33,FALSE,3,Spring
1/26/2024,1,cairo general hospital,hospital,cairo,105,aspirin,cardio,118,61,8,5,40,76,FALSE,1,Winter
2/10/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,134,31,19,2,38,89,FALSE,2,Winter
4/14/2024,2,el amal pharmacy,pharmacy,cairo,101,paracetamol,painkiller,245,65,17,5,88,156,FALSE,4,Spring
3/14/2024,1,cairo general hospital,hospital,cairo,102,amoxicillin,antibiotic,152,63,16,2,32,131,FALSE,3,Spring
3/8/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,108,46,5,9,48,57,FALSE,3,Spring
2/8/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,149,71,6,2,15,124,FALSE,2,Winter
3/19/2024,1,cairo general hospital,hospital,cairo,102,amoxicillin,antibiotic,156,47,5,8,37,120,FALSE,3,Spring
6/28/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,218,80,10,9,85,128,FALSE,6,Summer
4/22/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,53,58,3,7,24,44,FALSE,4,Spring
6/3/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,138,21,4,4,18,123,FALSE,6,Summer
5/30/2024,6,delta medical center,clinic,mansoura,105,aspirin,cardio,24,69,10,10,98,0,FALSE,5,Spring
4/30/2024,1,cairo general hospital,hospital,cairo,102,amoxicillin,antibiotic,278,59,16,5,75,199,FALSE,4,Spring
4/21/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,272,25,17,6,102,155,FALSE,4,Spring
3/23/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,62,76,7,6,48,10,FALSE,3,Spring
5/6/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,157,61,14,14,194,0,FALSE,5,Spring
4/26/2024,5,alex central hospital,hospital,alexandria,101,paracetamol,painkiller,56,39,10,6,64,0,FALSE,4,Spring
5/11/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,15,63,19,8,145,0,FALSE,5,Spring
2/18/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,280,42,17,11,183,87,FALSE,2,Winter
2/22/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,156,56,6,5,32,113,FALSE,2,Winter
5/4/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,70,21,9,12,106,0,FALSE,5,Spring
5/21/2024,2,el amal pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,15,55,15,2,32,0,FALSE,5,Spring
4/28/2024,2,el amal pharmacy,pharmacy,cairo,101,paracetamol,painkiller,67,61,6,8,51,28,FALSE,4,Spring
5/10/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,155,47,17,8,136,19,FALSE,5,Spring
5/21/2024,2,el amal pharmacy,pharmacy,cairo,104,insulin,diabetes,86,44,8,10,78,0,FALSE,5,Spring
2/4/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,43,36,15,6,88,0,FALSE,2,Winter
1/1/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,153,67,10,14,152,6,FALSE,1,Winter
6/17/2024,5,alex central hospital,hospital,alexandria,105,aspirin,cardio,260,74,6,8,52,214,FALSE,6,Summer
3/29/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,188,54,19,7,135,48,FALSE,3,Spring
2/18/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,128,56,14,4,51,71,FALSE,2,Winter
3/22/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,244,66,14,7,101,156,FALSE,3,Spring
2/8/2024,6,delta medical center,clinic,mansoura,106,metformin,diabetes,265,23,6,9,47,212,FALSE,2,Winter
1/26/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,230,27,18,8,140,92,FALSE,1,Winter
2/6/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,215,75,6,2,13,208,FALSE,2,Winter
3/27/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,219,60,4,14,57,155,FALSE,3,Spring
5/16/2024,3,giza health center,clinic,giza,106,metformin,diabetes,203,40,17,14,240,0,FALSE,5,Spring
6/7/2024,5,alex central hospital,hospital,alexandria,101,paracetamol,painkiller,42,34,11,4,47,5,FALSE,6,Summer
4/21/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,57,67,5,8,40,19,FALSE,4,Spring
3/17/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,21,22,12,13,158,0,FALSE,3,Spring
4/1/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,194,47,6,4,26,174,FALSE,4,Spring
5/24/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,105,31,7,2,12,89,FALSE,5,Spring
6/7/2024,5,alex central hospital,hospital,alexandria,104,insulin,diabetes,131,51,20,3,61,70,FALSE,6,Summer
6/12/2024,2,el amal pharmacy,pharmacy,cairo,104,insulin,diabetes,140,49,10,11,118,40,FALSE,6,Summer
3/14/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,294,29,4,8,34,252,FALSE,3,Spring
3/17/2024,3,giza health center,clinic,giza,105,aspirin,cardio,218,65,10,8,78,138,FALSE,3,Spring
4/8/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,256,26,9,7,68,194,FALSE,4,Spring
5/27/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,165,63,11,1,11,148,FALSE,5,Spring
3/11/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,22,56,3,10,29,0,FALSE,3,Spring
3/14/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,127,59,13,4,49,80,FALSE,3,Spring
6/7/2024,6,delta medical center,clinic,mansoura,102,amoxicillin,antibiotic,149,63,6,11,63,68,FALSE,6,Summer
6/14/2024,1,cairo general hospital,hospital,cairo,106,metformin,diabetes,30,38,15,1,16,18,FALSE,6,Summer
2/3/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,56,78,11,6,66,0,FALSE,2,Winter
2/14/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,107,28,19,6,116,7,FALSE,2,Winter
3/10/2024,5,alex central hospital,hospital,alexandria,105,aspirin,cardio,93,37,17,13,218,0,FALSE,3,Spring
3/27/2024,3,giza health center,clinic,giza,106,metformin,diabetes,72,47,4,3,10,51,FALSE,3,Spring
6/21/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,217,75,19,6,110,97,FALSE,6,Summer
1/4/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,146,54,5,8,38,103,FALSE,1,Winter
6/21/2024,3,giza health center,clinic,giza,106,metformin,diabetes,144,56,14,14,192,0,FALSE,6,Summer
1/28/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,127,49,2,10,18,106,FALSE,1,Winter
6/5/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,127,61,4,11,41,82,FALSE,6,Summer
3/18/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,220,27,6,1,6,211,FALSE,3,Spring
5/6/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,69,27,9,9,85,0,FALSE,5,Spring
4/26/2024,2,el amal pharmacy,pharmacy,cairo,104,insulin,diabetes,198,63,19,7,127,63,FALSE,4,Spring
2/9/2024,5,alex central hospital,hospital,alexandria,106,metformin,diabetes,222,60,6,14,69,153,FALSE,2,Winter
4/14/2024,4,nasr city pharmacy,pharmacy,cairo,105,aspirin,cardio,152,23,14,4,50,106,FALSE,4,Spring
3/1/2024,4,nasr city pharmacy,pharmacy,cairo,104,insulin,diabetes,193,27,13,9,114,70,FALSE,3,Spring
1/16/2024,6,delta medical center,clinic,mansoura,103,ibuprofen,painkiller,221,37,8,2,12,195,FALSE,1,Winter
6/18/2024,4,nasr city pharmacy,pharmacy,cairo,101,paracetamol,painkiller,115,59,2,1,0,117,FALSE,6,Summer
2/2/2024,3,giza health center,clinic,giza,102,amoxicillin,antibiotic,299,35,4,14,59,245,FALSE,2,Winter
5/30/2024,5,alex central hospital,hospital,alexandria,102,amoxicillin,antibiotic,120,73,10,6,56,63,FALSE,5,Spring
1/1/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,152,75,6,3,21,131,FALSE,1,Winter
2/14/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,69,64,3,3,5,57,FALSE,2,Winter
3/1/2024,1,cairo general hospital,hospital,cairo,103,ibuprofen,painkiller,182,20,7,5,38,143,FALSE,3,Spring
4/17/2024,1,cairo general hospital,hospital,cairo,102,amoxicillin,antibiotic,280,26,4,8,32,250,FALSE,4,Spring
5/11/2024,4,nasr city pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,60,48,18,4,72,0,FALSE,5,Spring
6/17/2024,5,alex central hospital,hospital,alexandria,101,paracetamol,painkiller,275,40,16,11,174,97,FALSE,6,Summer
5/2/2024,1,cairo general hospital,hospital,cairo,101,paracetamol,painkiller,214,48,5,8,46,163,FALSE,5,Spring
1/19/2024,6,delta medical center,clinic,mansoura,104,insulin,diabetes,45,39,6,2,11,39,FALSE,1,Winter
6/8/2024,2,el amal pharmacy,pharmacy,cairo,103,ibuprofen,painkiller,290,66,12,7,81,208,FALSE,6,Summer
3/16/2024,5,alex central hospital,hospital,alexandria,105,aspirin,cardio,245,52,15,2,29,207,FALSE,3,Spring
6/16/2024,6,delta medical center,clinic,mansoura,101,paracetamol,painkiller,289,66,8,7,58,240,FALSE,6,Summer
4/15/2024,4,nasr city pharmacy,pharmacy,cairo,102,amoxicillin,antibiotic,179,70,16,7,113,69,FALSE,4,Spring
1/25/2024,4,nasr city pharmacy,pharmacy,cairo,106,metformin,diabetes,169,47,12,11,128,39,FALSE,1,Winter
2/9/2024,3,giza health center,clinic,giza,103,ibuprofen,painkiller,250,24,4,14,57,202,FALSE,2,Winter
4/20/2024,1,cairo general hospital,hospital,cairo,101,paracetamol,painkiller,64,68,13,13,169,0,FALSE,4,Spring
1/16/2024,2,el amal pharmacy,pharmacy,cairo,105,aspirin,cardio,286,55,12,11,127,169,FALSE,1,Winter
3/31/2024,1,cairo general hospital,hospital,cairo,104,insulin,diabetes,223,74,3,5,16,215,FALSE,3,Spring
3/31/2024,5,alex central hospital,hospital,alexandria,103,ibuprofen,painkiller,67,56,18,4,77,0,FALSE,3,Spring
5/3/2024,2,el amal pharmacy,pharmacy,cairo,106,metformin,diabetes,127,72,5,6,32,95,FALSE,5,Spring
